Gene	Synonmys	all	aml	anal	rectal	colon	bladder	uterine	bone	breast	cns	esophageal	gastric	kaposi	melanoma	ovarian	cervical	mds	nhl	pancreas	nsclc	sclc	hnscc
BCL11A	53335;BCL11A;ENSG00000119866;EVI9;Q9H165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL11B	64919;BCL11B;ENSG00000127152;Q9C0K0;ZNF856B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL2	596;BCL2;ENSG00000171791;P10415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L12	83596;BCL2L12;ENSG00000126453;Q9HB09	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL3	602;BCL3;BCL4;D19S37;ENSG00000069399;P20749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL6	604;BCL6;ENSG00000113916;P41182;ZNF51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL7A	605;BCL7;BCL7A;ENSG00000110987;Q4VC05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL9	607;BCL9;ENSG00000116128;O00512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL9L	283149;BCL9L;ENSG00000186174;Q86UU0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BCLAF1	9774;BCLAF1;ENSG00000029363;Q9NYF8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCOR	54880;BCOR;ENSG00000183337;Q6W2J9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCORL1	63035;BCORL1;CXorf10;ENSG00000085185;Q5H9F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCR	613;BCR;BCR1;D22S11;ENSG00000186716;P11274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC3	330;API2;BIRC3;ENSG00000023445;Q13489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC6	57448;BIRC6;ENSG00000115760;Q9NR09	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
BLM	641;BLM;ENSG00000197299;P54132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP5	653;BMP5;ENSG00000112175;P22003	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BMPR1A	657;ACVRLK3;ALK3;BMPR1A;CD292;ENSG00000107779;P36894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRAF	673;BRAF;ENSG00000157764;P15056	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0
BRCA1	672;BRCA1;ENSG00000012048;P38398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BRCA2	675;BRCA2;ENSG00000139618;FACD;FANCD;FANCD1;P51587	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
BRD3	8019;BRD3;ENSG00000169925;Q15059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRD4	23476;BRD4;ENSG00000141867;O60885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRIP1	83990;BRIP1;ENSG00000136492;Q9BX63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTG1	694;BTG1;ENSG00000133639;P62324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTK	695;AGMX1;BTK;ENSG00000010671;IMD1;Q06187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BUB1B	701;BUB1B;ENSG00000156970;O60566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C15orf65		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf44	80304;C2orf44;ENSG00000163026;Q9H6R7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1D	776;CACNA1D;CACNL1A2;CCHL1A2;ENSG00000157388;Q01668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALR	811;CALR;ENSG00000179218;P27797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1	23261;CAMTA1;ENSG00000171735;Q9Y6Y1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANT1	124583;CANT1;ENSG00000171302;Q8WVQ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARD11	84433;CARD11;ENSG00000198286;Q9BXL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARS	833;CARS;ENSG00000110619;P49589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASC5	57082;CASC5;ENSG00000137812;MCPH4;Q8NG31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP3	836;CASP3;ENSG00000164305;P42574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CASP8	841;CASP8;ENSG00000064012;Q14790	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP9	842;CASP9;ENSG00000132906;P55211	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CBFA2T3	863;CBFA2T3;ENSG00000129993;O75081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBFB	865;CBFB;ENSG00000067955;Q13951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBL	867;CBL;CBL2;ENSG00000110395;P22681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBLB	868;CBLB;ENSG00000114423;Q13191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBLC	23624;CBLC;ENSG00000142273;Q9ULV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC6	8030;CCDC6;D10S170;ENSG00000108091;Q16204;TST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNB1IP1	57820;C14orf18;CCNB1IP1;ENSG00000100814;Q9NPC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNC	892;CCNC;ENSG00000112237;P24863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND1	595;BCL1;CCND1;D11S287E;ENSG00000110092;P24385;PRAD1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND2	894;CCND2;ENSG00000118971;P30279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCND3	896;CCND3;ENSG00000112576;P30281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNE1	898;CCNE;CCNE1;ENSG00000105173;P24864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCR4	1233;CCR4;ENSG00000183813;P51679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR7	1236;CCR7;CMKBR7;EBI1;ENSG00000126353;P32248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD209	30835;CD209;ENSG00000090659;Q9NNX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD274	29126;CD274;ENSG00000120217;PDCD1LG1;Q9NZQ7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD28	940;CD28;ENSG00000178562;P10747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD74	972;CD74;DHLAG;ENSG00000019582;P04233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD79A	973;CD79A;ENSG00000105369;IGA;P11912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD79B	974;CD79B;ENSG00000007312;IGB;P40259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC73	79577;C1orf28;CDC73;ENSG00000134371;HRPT1;HRPT2;Q6P1J9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH1	999;CDH1;ENSG00000039068;P12830;UVO	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CDH10	1008;CDH10;ENSG00000040731;Q9Y6N8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDH11	1009;CDH11;ENSG00000140937;P55287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH17	1015;CDH17;ENSG00000079112;Q12864	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDK12	51755;CDK12;CRKRS;ENSG00000167258;Q9NYV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDK4	1019;CDK4;ENSG00000135446;P11802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK6	1021;CDK6;ENSG00000105810;Q00534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN1A	1026;CDKN1;CDKN1A;ENSG00000124762;P38936	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN1B	1027;CDKN1B;ENSG00000111276;P46527	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	1029;CDKN2;CDKN2A;ENSG00000147889;MLM;P42771	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDKN2C	1031;CDKN2C;ENSG00000123080;P42773	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDX2	1045;CDX2;CDX3;ENSG00000165556;Q99626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPA	1050;CEBP;CEBPA;ENSG00000245848;P49715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP89	84902;CCDC123;CEP89;ENSG00000121289;Q96ST8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHCHD7	79145;CHCHD7;ENSG00000170791;Q9BUK0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD2	1106;CHD2;ENSG00000173575;O14647	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CHD4	1108;CHD4;ENSG00000111642;Q14839	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHEK2	11200;CHEK2;ENSG00000183765;O96017;RAD53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHIC2	26511;CHIC2;ENSG00000109220;Q9UKJ5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST11	50515;CHST11;ENSG00000171310;Q9NPF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIC	23152;CIC;ENSG00000079432	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CIITA	4261;CIITA;ENSG00000179583;MHC2TA;P33076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIP1	6249;CLIP1;ENSG00000130779;P30622;RSN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLP1	10978;CLP1;ENSG00000172409;Q92989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLTC	1213;CLTC;CLTCL2;ENSG00000141367;Q00610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLTCL1	8218;CLTCL;CLTCL1;ENSG00000070371;P53675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNBD1	168975;CNBD1;ENSG00000176571;Q8NA66	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CNBP	7555;CNBP;DM2;ENSG00000169714;P62633;ZNF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT3	4849;CNOT3;ENSG00000088038;NOT3;O75175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTNAP2	26047;CNTNAP2;ENSG00000174469;Q9UHC6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
CNTRL	11064;CEP1;CEP110;CNTRL;ENSG00000119397;Q7Z7A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL1A1	1277;COL1A1;ENSG00000108821;P02452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL2A1	1280;AOM;COL2A1;ENSG00000139219;P02458;SEDC	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL3A1	1281;COL3A1;EDS4A;ENSG00000168542;P02461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6C	1345;COX6C;ENSG00000164919;P09669	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPEB3	22849;CPEB3;ENSG00000107864;Q8NE35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB1	1385;CREB1;ENSG00000118260;P16220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3L1	90993;CREB3L1;ENSG00000157613;Q96BA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3L2	64764;CREB3L2;ENSG00000182158;Q70SY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREBBP	1387;CREBBP;ENSG00000005339;Q92793;RSTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRLF2	64109;CRLF2;ENSG00000205755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRNKL1	51340;CRNKL1;ENSG00000101343;Q9BZJ0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTC1	23373;CRTC1;ENSG00000105662;MECT1;Q6UUV9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTC3	64784;CRTC3;ENSG00000140577;Q6UUV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF1R	1436;CSF1R;ENSG00000182578;FMS;P07333	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CSF3R	1441;CD114;CSF3R;ENSG00000119535;Q99062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSMD3	114788;CSMD3;ENSG00000164796;Q7Z407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTCF	10664;CTCF;ENSG00000102974;P49711	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNA2	1496;CTNNA2;ENSG00000066032;P26232	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CTNNB1	1499;CTNNB;CTNNB1;ENSG00000168036;P35222	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNND1	1500;CTNND;CTNND1;ENSG00000198561;O60716	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNND2	1501;CTNND2;ENSG00000169862;Q9UQB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUL3	8452;CUL3;ENSG00000036257;Q13618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUX1	1523;CUTL1;CUX1;ENSG00000257923;P39880	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CXCR4	7852;CXCR4;ENSG00000121966;P61073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYLD	1540;CYLD;CYLD1;ENSG00000083799;Q9NQC7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2C8	1558;CPC8;CYP2C8;ENSG00000138115;P450 MP+AC0-12/MP+AC0-20;P450MP+AC0-12/MP+AC0-20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CYSLTR2	57105;CYSLTR2;ENSG00000152207;Q9NS75	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DAXX	1616;DAXX;ENSG00000204209;Q9UER7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DCAF12L2	340578;DCAF12L2;ENSG00000198354;Q5VW00;WDR40C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCC	1630;DCC;ENSG00000187323;P43146	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DCTN1	1639;DCTN1;ENSG00000204843;Q14203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB2	1643;DDB2;ENSG00000134574;Q92466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDIT3	1649;DDIT3;ENSG00000175197;P35638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	4921;DDR2;ENSG00000162733;NTRKR3;Q16832;TYRO10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX10	1662;DDX10;ENSG00000178105;Q13206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX3X	1654;DDX3;DDX3X;ENSG00000215301;O00571	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX5	1655;DDX5;ENSG00000108654;G17P1;HLR1;P17844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6	1656;DDX6;ENSG00000110367;HLR2;P26196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEK	7913;DEK;ENSG00000124795;P35659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
