Gene	CGC	Publications	Cancer type frequency per number of publications
ATXN2	No	12	"Liver Cancer":16%;"Blood Cancer":8%;"Nervous System Cancer":16%;"Colorectal Cancer":25%;Sarcoma:8%;"Pancreatic Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
CD2AP	No	10	"Liver Cancer":20%;"Nervous System Cancer":20%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":10%;"Gastric Cancer":10%;
CELF1	No	11	"Liver Cancer":27%;"Blood Cancer":9%;"Colorectal Cancer":36%;"Pancreatic Cancer":9%;"Nervous System Cancer":9%;"Gastric Cancer":9%;
CUL1	No	12	"Liver Cancer":25%;"Blood Cancer":8%;"Colorectal Cancer":25%;"Pancreatic Cancer":8%;"Skin Cancer":16%;"Nervous System Cancer":8%;"Gastric Cancer":8%;
DHX15	No	12	"Liver Cancer":25%;"Blood Cancer":8%;"Nervous System Cancer":16%;"Colorectal Cancer":25%;"Pancreatic Cancer":16%;"Skin Cancer":8%;
ERG	Yes	13	"Blood Cancer":84%;"Colorectal Cancer":15%;
GPBP1	No	13	"Liver Cancer":15%;"Lung Cancer":7%;"Blood Cancer":7%;"Colorectal Cancer":30%;Sarcoma:7%;"Pancreatic Cancer":7%;"Skin Cancer":7%;"Gastric Cancer":7%;"Nervous System Cancer":7%;
HNRNPM	No	12	"Liver Cancer":25%;"Blood Cancer":8%;"Colorectal Cancer":25%;"Pancreatic Cancer":8%;"Skin Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;"Nervous System Cancer":8%;
MECOM	Yes	13	"Blood Cancer":46%;"Pancreatic Cancer":23%;"Colorectal Cancer":23%;"Gastric Cancer":7%;
MKLN1	No	13	"Liver Cancer":15%;"Blood Cancer":15%;"Pancreatic Cancer":15%;"Colorectal Cancer":30%;"Skin Cancer":7%;"Gastric Cancer":7%;"Nervous System Cancer":7%;
PAFAH1B1	No	11	"Liver Cancer":18%;"Blood Cancer":9%;"Nervous System Cancer":18%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Gastric Cancer":9%;
PDS5A	No	12	"Liver Cancer":25%;"Breast Cancer":16%;"Blood Cancer":16%;"Nervous System Cancer":8%;"Colorectal Cancer":25%;"Gastric Cancer":8%;
PPP4R3A	No	12	"Liver Cancer":16%;"Blood Cancer":8%;"Colorectal Cancer":25%;Sarcoma:8%;"Pancreatic Cancer":8%;"Nervous System Cancer":16%;"Breast Cancer":8%;"Gastric Cancer":8%;
RAB10	No	12	"Liver Cancer":16%;"Breast Cancer":16%;"Blood Cancer":8%;"Pancreatic Cancer":16%;"Colorectal Cancer":25%;Sarcoma:8%;"Nervous System Cancer":8%;
RANBP9	No	12	"Liver Cancer":16%;"Lung Cancer":8%;"Blood Cancer":8%;"Nervous System Cancer":16%;"Colorectal Cancer":25%;"Pancreatic Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
RSF1	No	12	"Liver Cancer":16%;"Blood Cancer":16%;"Nervous System Cancer":16%;"Colorectal Cancer":25%;Sarcoma:8%;"Pancreatic Cancer":8%;"Gastric Cancer":8%;
SENP6	No	12	"Liver Cancer":16%;"Blood Cancer":8%;"Colorectal Cancer":25%;Sarcoma:8%;"Pancreatic Cancer":8%;"Skin Cancer":16%;"Nervous System Cancer":8%;"Breast Cancer":8%;
SND1	Yes	12	"Liver Cancer":33%;"Blood Cancer":8%;"Pancreatic Cancer":8%;"Colorectal Cancer":33%;Sarcoma:8%;"Gastric Cancer":8%;
SPRED1	No	13	"Liver Cancer":23%;"Breast Cancer":15%;"Blood Cancer":15%;"Colorectal Cancer":15%;"Pancreatic Cancer":7%;"Skin Cancer":7%;"Nervous System Cancer":7%;"Gastric Cancer":7%;
STAG2	Yes	9	"Liver Cancer":33%;"Lung Cancer":11%;"Nervous System Cancer":22%;"Colorectal Cancer":11%;"Pancreatic Cancer":11%;"Skin Cancer":11%;
STK24	No	13	"Liver Cancer":23%;"Blood Cancer":7%;"Nervous System Cancer":15%;"Colorectal Cancer":23%;"Pancreatic Cancer":7%;"Skin Cancer":15%;"Gastric Cancer":7%;
TNRC6B	No	13	"Liver Cancer":15%;"Breast Cancer":7%;"Blood Cancer":23%;"Colorectal Cancer":23%;"Pancreatic Cancer":7%;"Skin Cancer":15%;"Gastric Cancer":7%;
TSC22D2	No	13	"Liver Cancer":30%;"Blood Cancer":15%;"Nervous System Cancer":15%;"Colorectal Cancer":7%;Sarcoma:7%;"Pancreatic Cancer":15%;"Skin Cancer":7%;
UBE2G1	No	11	"Liver Cancer":27%;"Blood Cancer":18%;"Nervous System Cancer":18%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;
UBR5	Yes	11	"Liver Cancer":18%;"Nervous System Cancer":18%;"Blood Cancer":9%;"Pancreatic Cancer":18%;"Colorectal Cancer":27%;"Gastric Cancer":9%;
ZFAND3	No	13	"Liver Cancer":23%;"Blood Cancer":7%;"Nervous System Cancer":23%;"Pancreatic Cancer":15%;"Colorectal Cancer":15%;"Skin Cancer":7%;"Gastric Cancer":7%;
ZMYM2	No	13	"Liver Cancer":30%;"Blood Cancer":7%;"Nervous System Cancer":15%;"Pancreatic Cancer":15%;"Colorectal Cancer":15%;"Breast Cancer":7%;"Gastric Cancer":7%;
ABI1	Yes	11	"Liver Cancer":18%;"Blood Cancer":9%;"Pancreatic Cancer":18%;"Colorectal Cancer":27%;"Nervous System Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
ADNP	No	12	"Liver Cancer":25%;"Blood Cancer":8%;"Pancreatic Cancer":16%;"Colorectal Cancer":25%;"Nervous System Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
AKT2	Yes	11	"Liver Cancer":9%;"Blood Cancer":81%;Sarcoma:9%;
ARFIP1	No	13	"Liver Cancer":23%;"Breast Cancer":15%;"Blood Cancer":23%;"Pancreatic Cancer":15%;"Colorectal Cancer":15%;"Gastric Cancer":7%;
ATAD2B	No	11	"Liver Cancer":18%;"Blood Cancer":9%;"Colorectal Cancer":27%;Sarcoma:9%;"Pancreatic Cancer":9%;"Nervous System Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
BAZ1B	No	10	"Liver Cancer":20%;"Breast Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
BIRC6	Yes	11	"Liver Cancer":18%;"Blood Cancer":9%;"Nervous System Cancer":18%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Breast Cancer":9%;
BMPR1A	Yes	12	"Liver Cancer":16%;"Breast Cancer":8%;"Pancreatic Cancer":16%;"Colorectal Cancer":33%;Sarcoma:8%;"Nervous System Cancer":8%;"Gastric Cancer":8%;
CDKN2A	Yes	12	"Blood Cancer":41%;"Colorectal Cancer":8%;"Pancreatic Cancer":16%;"Skin Cancer":16%;"Nervous System Cancer":8%;"Breast Cancer":8%;
CHD2	Yes	12	"Liver Cancer":16%;"Blood Cancer":16%;"Colorectal Cancer":25%;"Pancreatic Cancer":16%;"Breast Cancer":8%;"Gastric Cancer":8%;"Nervous System Cancer":8%;
CNOT6L	No	12	"Liver Cancer":25%;"Blood Cancer":8%;"Nervous System Cancer":16%;"Colorectal Cancer":25%;"Pancreatic Cancer":8%;"Skin Cancer":8%;"Gastric Cancer":8%;
CSNK2A1	No	12	"Liver Cancer":25%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Pancreatic Cancer":8%;"Breast Cancer":8%;"Nervous System Cancer":8%;
CTNND1	Yes	11	"Liver Cancer":18%;"Blood Cancer":9%;"Pancreatic Cancer":27%;"Colorectal Cancer":27%;"Skin Cancer":9%;"Gastric Cancer":9%;
CUX1	Yes	11	"Nervous System Cancer":27%;"Blood Cancer":18%;"Colorectal Cancer":18%;Sarcoma:9%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Gastric Cancer":9%;
EML4	Yes	11	"Liver Cancer":9%;"Lung Cancer":9%;"Blood Cancer":27%;"Nervous System Cancer":18%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;
ETV6	Yes	11	"Liver Cancer":18%;"Blood Cancer":27%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Gastric Cancer":9%;
FAM193A	No	12	"Liver Cancer":25%;"Breast Cancer":8%;"Blood Cancer":16%;"Colorectal Cancer":25%;"Pancreatic Cancer":8%;"Nervous System Cancer":8%;"Gastric Cancer":8%;
FBXO11	Yes	11	"Liver Cancer":18%;"Blood Cancer":9%;"Pancreatic Cancer":18%;"Colorectal Cancer":27%;Sarcoma:9%;"Nervous System Cancer":9%;"Gastric Cancer":9%;
FNBP1L	No	10	"Liver Cancer":10%;"Nervous System Cancer":20%;"Colorectal Cancer":40%;Sarcoma:10%;"Pancreatic Cancer":10%;"Skin Cancer":10%;
FRS2	No	13	"Liver Cancer":23%;"Blood Cancer":23%;"Nervous System Cancer":15%;"Colorectal Cancer":15%;"Pancreatic Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
IRF2	No	12	"Liver Cancer":25%;"Blood Cancer":16%;"Colorectal Cancer":25%;"Pancreatic Cancer":8%;"Nervous System Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
JARID2	No	12	"Liver Cancer":16%;"Blood Cancer":16%;"Colorectal Cancer":25%;"Pancreatic Cancer":8%;"Skin Cancer":8%;"Nervous System Cancer":16%;"Gastric Cancer":8%;
JMJD1C	No	13	"Liver Cancer":15%;"Breast Cancer":15%;"Lung Cancer":7%;"Blood Cancer":15%;"Colorectal Cancer":15%;Sarcoma:7%;"Pancreatic Cancer":7%;"Skin Cancer":7%;"Gastric Cancer":7%;
KPNA4	No	11	"Liver Cancer":27%;"Blood Cancer":18%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Gastric Cancer":9%;"Nervous System Cancer":9%;
LRIG1	No	11	"Liver Cancer":27%;"Colorectal Cancer":27%;"Pancreatic Cancer":18%;"Nervous System Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
LUC7L2	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Pancreatic Cancer":20%;"Colorectal Cancer":30%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
MAP2K4	Yes	10	"Liver Cancer":30%;"Blood Cancer":10%;"Colorectal Cancer":20%;"Pancreatic Cancer":10%;"Nervous System Cancer":20%;"Breast Cancer":10%;
MAPK1	Yes	11	"Liver Cancer":18%;"Blood Cancer":9%;"Nervous System Cancer":18%;"Pancreatic Cancer":18%;"Colorectal Cancer":27%;"Gastric Cancer":9%;
MATR3	No	12	"Liver Cancer":16%;"Breast Cancer":16%;"Blood Cancer":8%;"Colorectal Cancer":33%;"Pancreatic Cancer":8%;"Skin Cancer":8%;"Nervous System Cancer":8%;
NCOR1	Yes	10	"Liver Cancer":30%;"Blood Cancer":10%;"Nervous System Cancer":20%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;
NIPBL	No	10	"Liver Cancer":20%;Sarcoma:10%;"Nervous System Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
PAN3	No	10	"Liver Cancer":20%;"Lung Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
PIK3R1	Yes	10	"Liver Cancer":20%;"Breast Cancer":10%;"Colorectal Cancer":40%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
PPM1B	No	10	"Liver Cancer":20%;"Breast Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
